Id,NpcId,HeartLevel,EventName,EventType,TriggerCondition,TriggerDay,TriggerWeather,TriggerSeason,Location,DialogueGroup,Reward,FollowUpEvent,Priority
heart_acha_1,acha,1,初识云狐,Memory,on_beast_obtain,any,any,any,cloud_mist,heart_acha_1_01,pet_cloud_fox_baby,heart_acha_2,High
heart_acha_2,acha,2,茶园共度,Memory,on_gift_received,any,any,any,tea_garden,heart_acha_2_01,tea_cloudx2,heart_acha_3,High
heart_acha_3,acha,3,月下品茶,Memory,on_night_meet,any,cloudy,any,cloud_pavilion,heart_acha_3_01,tea_mistx3,heart_acha_4,High
heart_acha_4,acha,4,浓情蜜意,Memory,on_favor_10,any,any,any,tea_workshop,heart_acha_4_01,love_charm,heart_acha_5,High
heart_acha_5,acha,5,山盟海誓,Memory,on_favor_15,any,any,any,cloud_surface,heart_acha_5_01,cloud_crystalx3,heart_acha_6,High
heart_acha_6,acha,6,灵犀一点,Memory,on_quest_complete,ch2_complete,any,any,tea_garden,heart_acha_6_01,tea_pot_adv,heart_acha_7,Medium
heart_acha_7,acha,7,风雨同舟,Memory,on_crisis_help,ch3_1,any,any,main_hall,heart_acha_7_01,spirit_stonex3,heart_acha_8,Medium
heart_acha_8,acha,8,执子之手,Memory,on_favor_20,any,any,any,cloud_pavilion,heart_acha_8_01,marriage_ring,heart_acha_9,Medium
heart_acha_9,acha,9,相伴余生,Memory,on_marriage,any,any,any,cloud_shrine,heart_acha_9_01,married_bonus,heart_acha_10,High
heart_acha_10,acha,10,永恒之约,Memory,on_true_ending,ending_true,any,any,cloud_surface,heart_acha_10_01,eternal_bond,None,High
heart_yu_1,yu,1,学术交流,Memory,on_quest_complete,ch1_4,any,any,library,heart_yu_1_01,book_spirit_1,heart_yu_2,High
heart_yu_2,yu,2,灵界探险,Memory,on_spirit_realm_visit,ch2_1,any,any,spirit_realm,heart_yu_2_01,void_crystalx2,heart_yu_3,High
heart_yu_3,yu,3,云海观星,Memory,on_night_meet,any,clear,any,observation_platform,heart_yu_3_01,stardustx1,heart_yu_4,High
heart_yu_4,yu,4,夜读时光,Memory,on_evening_meet,any,any,any,library,heart_yu_4_01,book_rare,heart_yu_5,High
heart_yu_5,yu,5,情深意重,Memory,on_favor_15,any,any,any,library,heart_yu_5_01,scholar_pendant,heart_yu_6,Medium
heart_yu_6,yu,6,研究突破,Memory,on_quest_complete,ch3_2,any,any,lab,heart_yu_6_01,research_scroll,heart_yu_7,Medium
heart_yu_7,yu,7,共渡难关,Memory,on_crisis_help,ch3_5,any,any,main_hall,heart_yu_7_01,void_crystalx3,heart_yu_8,Medium
heart_yu_8,yu,8,心心相印,Memory,on_favor_20,any,any,any,observation_platform,heart_yu_8_01,star_charm,heart_yu_9,Medium
heart_yu_9,yu,9,白首之约,Memory,on_marriage,any,any,any,cloud_shrine,heart_yu_9_01,married_bonus,heart_yu_10,High
heart_yu_10,yu,10,学术伉俪,Memory,on_true_ending,ending_true,any,any,library,heart_yu_10_01,eternal_bond,None,High
heart_qiao_1,qiao,1,画廊初见,Memory,on_meet,any,any,any,art_gallery,heart_qiao_1_01,paint_brush,heart_qiao_2,High
heart_qiao_2,qiao,2,灵感碰撞,Memory,on_gift_received,any,any,any,art_studio,heart_qiao_2_01,flower_rarex2,heart_qiao_3,High
heart_qiao_3,qiao,3,云海写生,Memory,on_weather_event,any,cloudy,any,cloud_surface,heart_qiao_3_01,painting_cloud,heart_qiao_4,High
heart_qiao_4,qiao,4,秋日采风,Memory,on_season_change,any,any,autumn,outdoor,heart_qiao_4_01,autumn_palette,heart_qiao_5,High
heart_qiao_5,qiao,5,情投意合,Memory,on_favor_15,any,any,any,art_gallery,heart_qiao_5_01,love_painting,heart_qiao_6,Medium
heart_qiao_6,qiao,6,画展盛事,Memory,on_quest_complete,ch4_2,any,any,art_gallery,heart_qiao_6_01,art_scroll,heart_qiao_7,Medium
heart_qiao_7,qiao,7,风雨同画,Memory,on_crisis_help,ch3_5,any,any,main_hall,heart_qiao_7_01,cloud_essencex3,heart_qiao_8,Medium
heart_qiao_8,qiao,8,执笔画情,Memory,on_favor_20,any,any,any,art_studio,heart_qiao_8_01,wedding_portrait,heart_qiao_9,Medium
heart_qiao_9,qiao,9,画中缘定,Memory,on_marriage,any,any,any,cloud_shrine,heart_qiao_9_01,married_bonus,heart_qiao_10,High
heart_qiao_10,qiao,10,丹青永恒,Memory,on_true_ending,ending_true,any,any,art_gallery,heart_qiao_10_01,eternal_bond,None,High
heart_he_1,he,1,温泉初遇,Memory,on_meet,any,any,any,hot_spring,heart_he_1_01,herb_healingx2,heart_he_2,High
heart_he_2,he,2,药膳共制,Memory,on_cooking_complete,any,any,any,kitchen,heart_he_2_01,medicine_soupx3,heart_he_3,High
heart_he_3,he,3,温泉夜话,Memory,on_night_meet,any,any,any,hot_spring,heart_he_3_01,hot_spring_ticket,heart_he_4,High
heart_he_4,he,4,医者仁心,Memory,on_purify_help,ch3_2,any,any,clinic,heart_he_4_01,herb_garden_seed,heart_he_5,High
heart_he_5,he,5,情深似海,Memory,on_favor_15,any,any,any,hot_spring,heart_he_5_01,healing_charm,heart_he_6,Medium
heart_he_6,he,6,疫情危机,Memory,on_quest_complete,ch3_4,any,any,clinic,heart_he_6_01,antidote_recipe,heart_he_7,Medium
heart_he_7,he,7,同舟共济,Memory,on_crisis_help,ch5_4,any,any,clinic,heart_he_7_01,spirit_stonex3,heart_he_8,Medium
heart_he_8,he,8,携手余生,Memory,on_favor_20,any,any,any,hot_spring,heart_he_8_01,marriage_ring,heart_he_9,Medium
heart_he_9,he,9,温泉盟誓,Memory,on_marriage,any,any,any,cloud_shrine,heart_he_9_01,married_bonus,heart_he_10,High
heart_he_10,he,10,济世良缘,Memory,on_true_ending,ending_true,any,any,clinic,heart_he_10_01,eternal_bond,None,High
heart_ning_1,ning,1,花园初识,Memory,on_meet,any,any,any,flower_field,heart_ning_1_01,flower_seedx3,heart_ning_2,High
heart_ning_2,ning,2,授粉之约,Memory,on_farm_help,any,any,any,flower_field,heart_ning_2_01,flower_rarex2,heart_ning_3,High
heart_ning_3,ning,3,花田月下,Memory,on_night_meet,any,cloudy,any,flower_field,heart_ning_3_01,moon_flowerx1,heart_ning_4,High
heart_ning_4,ning,4,四季花开,Memory,on_season_change,any,any,any,flower_field,heart_ning_4_01,flower_bloomx5,heart_ning_5,High
heart_ning_5,ning,5,心花怒放,Memory,on_favor_15,any,any,any,flower_field,heart_ning_5_01,love_flower,heart_ning_6,Medium
heart_ning_6,ning,6,嫁接成功,Memory,on_quest_complete,ch4_2,any,any,flower_field,heart_ning_6_01,rare_seed,heart_ning_7,Medium
heart_ning_7,ning,7,风雨护花,Memory,on_crisis_help,ch3_5,any,any,flower_field,heart_ning_7_01,flower_protect_charm,heart_ning_8,Medium
heart_ning_8,ning,8,相伴永远,Memory,on_favor_20,any,any,any,flower_field,heart_ning_8_01,marriage_ring,heart_ning_9,Medium
heart_ning_9,ning,9,花神见证,Memory,on_marriage,any,any,any,cloud_shrine,heart_ning_9_01,married_bonus,heart_ning_10,High
heart_ning_10,ning,10,花落花开,Memory,on_true_ending,ending_true,any,any,flower_field,heart_ning_10_01,eternal_bond,None,High
heart_an_1,an,1,田埂相遇,Memory,on_meet,any,any,any,farm_area,heart_an_1_01,seed_vegetablex5,heart_an_2,High
heart_an_2,an,2,丰收之喜,Memory,on_harvest_complete,any,any,any,farm_area,heart_an_2_01,crop_mixedx10,heart_an_3,High
heart_an_3,an,3,农闲时光,Memory,on_rest_meet,any,any,any,rest_house,heart_an_3_01,farm_tool_adv,heart_an_4,High
heart_an_4,an,4,农机改良,Memory,on_tool_upgrade,any,any,any,workshop,heart_an_4_01,upgrade_scroll,heart_an_5,High
heart_an_5,an,5,情真意切,Memory,on_favor_15,any,any,any,farm_area,heart_an_5_01,harvest_blessing,heart_an_6,Medium
heart_an_6,an,6,丰收祭典,Memory,on_quest_complete,autumn_harvest,any,any,main_hall,heart_an_6_01,trophy_farm,heart_an_7,Medium
heart_an_7,an,7,共度灾年,Memory,on_crisis_help,ch3_1,any,any,farm_area,heart_an_7_01,spirit_stonex3,heart_an_8,Medium
heart_an_8,an,8,相守一生,Memory,on_favor_20,any,any,any,farm_area,heart_an_8_01,marriage_ring,heart_an_9,Medium
heart_an_9,an,9,田间盟约,Memory,on_marriage,any,any,any,cloud_shrine,heart_an_9_01,married_bonus,heart_an_10,High
heart_an_10,an,10,五谷丰登,Memory,on_true_ending,ending_true,any,any,farm_area,heart_an_10_01,eternal_bond,None,High
heart_song_1,song,1,市集偶遇,Memory,on_meet,any,any,any,market,heart_song_1_01,market_couponx3,heart_song_2,High
heart_song_2,song,2,砍价高手,Memory,on_trade_success,any,any,any,market,heart_song_2_01,goldx500,heart_song_3,High
heart_song_3,song,3,商业头脑,Memory,on_trade_volume,50,any,any,market,heart_song_3_01,trade_exp_book,heart_song_4,High
heart_song_4,song,4,深夜小酌,Memory,on_night_meet,any,any,any,shop_night,heart_song_4_01,night_drinkx2,heart_song_5,High
heart_song_5,song,5,情投意合,Memory,on_favor_15,any,any,any,market,heart_song_5_01,love_charm,heart_song_6,Medium
heart_song_6,song,6,商路危机,Memory,on_quest_complete,ch3_3,any,any,market,heart_song_6_01,trade_protection,heart_song_7,Medium
heart_song_7,song,7,共渡难关,Memory,on_crisis_help,ch5_2,any,any,market,heart_song_7_01,spirit_stonex3,heart_song_8,Medium
heart_song_8,song,8,执手偕老,Memory,on_favor_20,any,any,any,market,heart_song_8_01,marriage_ring,heart_song_9,Medium
heart_song_9,song,9,商海盟誓,Memory,on_marriage,any,any,any,cloud_shrine,heart_song_9_01,married_bonus,heart_song_10,High
heart_song_10,song,10,富甲一方,Memory,on_true_ending,ending_true,any,any,market,heart_song_10_01,eternal_bond,None,High
heart_wanxing_1,wanxing,1,观云台初见,Memory,on_meet,any,any,any,observation_platform,heart_wanxing_1_01,star_chart,heart_wanxing_2,High
heart_wanxing_2,wanxing,2,星象解读,Memory,on_night_meet,any,clear,any,observation_platform,heart_wanxing_2_01,stardustx2,heart_wanxing_3,High
heart_wanxing_3,wanxing,3,云海预言,Memory,on_festival_attend,cloud_tide,any,any,cloud_surface,heart_wanxing_3_01,cloud_tide_blessing,heart_wanxing_4,High
heart_wanxing_4,wanxing,4,星陨观测,Memory,on_quest_complete,ch5_1,any,any,observation_platform,heart_wanxing_4_01,celestial_essencex3,heart_wanxing_5,High
heart_wanxing_5,wanxing,5,星语心愿,Memory,on_favor_15,any,any,any,observation_platform,heart_wanxing_5_01,star_charm_rare,heart_wanxing_6,Medium
heart_wanxing_6,wanxing,6,天机揭示,Memory,on_quest_complete,ch6_2,any,any,observation_platform,heart_wanxing_6_01,origin_scroll,heart_wanxing_7,Medium
heart_wanxing_7,wanxing,7,星辰指引,Memory,on_crisis_help,ch6_1,any,any,observation_platform,heart_wanxing_7_01,celestial_essencex5,heart_wanxing_8,Medium
heart_wanxing_8,wanxing,8,星月交辉,Memory,on_favor_20,any,any,any,observation_platform,heart_wanxing_8_01,marriage_ring,heart_wanxing_9,Medium
heart_wanxing_9,wanxing,9,星河之约,Memory,on_marriage,any,any,any,cloud_shrine,heart_wanxing_9_01,married_bonus,heart_wanxing_10,High
heart_wanxing_10,wanxing,10,星辰永恒,Memory,on_true_ending,ending_true,any,any,observation_platform,heart_wanxing_10_01,eternal_bond,None,High
heart_xiaoman_1,xiaoman,1,茶园相识,Memory,on_meet,any,any,any,tea_garden,heart_xiaoman_1_01,tea_seedx3,heart_xiaoman_2,High
heart_xiaoman_2,xiaoman,2,采茶趣事,Memory,on_harvest_complete,any,any,any,tea_garden,heart_xiaoman_2_01,tea_budx3,heart_xiaoman_3,High
heart_xiaoman_3,xiaoman,3,夕阳茶话,Memory,on_evening_meet,any,any,any,tea_garden,heart_xiaoman_3_01,tea_cloudx2,heart_xiaoman_4,High
heart_xiaoman_4,xiaoman,4,茶道传承,Memory,on_teaching_complete,any,any,any,tea_workshop,heart_xiaoman_4_01,tea_pot_adv,heart_xiaoman_5,High
heart_xiaoman_5,xiaoman,5,情深如茶,Memory,on_favor_15,any,any,any,tea_garden,heart_xiaoman_5_01,love_tea,heart_xiaoman_6,Medium
heart_xiaoman_6,xiaoman,6,茶香危机,Memory,on_quest_complete,ch3_2,any,any,tea_garden,heart_xiaoman_6_01,tea_preserve,heart_xiaoman_7,Medium
heart_xiaoman_7,xiaoman,7,同守茶园,Memory,on_crisis_help,ch3_5,any,any,tea_garden,heart_xiaoman_7_01,spirit_stonex3,heart_xiaoman_8,Medium
heart_xiaoman_8,xiaoman,8,相守一生,Memory,on_favor_20,any,any,any,tea_garden,heart_xiaoman_8_01,marriage_ring,heart_xiaoman_9,Medium
heart_xiaoman_9,xiaoman,9,茶香盟誓,Memory,on_marriage,any,any,any,cloud_shrine,heart_xiaoman_9_01,married_bonus,heart_xiaoman_10,High
heart_xiaoman_10,xiaoman,10,茶道永恒,Memory,on_true_ending,ending_true,any,any,tea_garden,heart_xiaoman_10_01,eternal_bond,None,High
heart_mo_1,mo,1,灵界相遇,Memory,on_spirit_realm_visit,any,any,any,spirit_realm,heart_mo_1_01,spirit_stonex1,heart_mo_2,High
heart_mo_2,mo,2,矿洞探险,Memory,on_cave_explore,any,any,any,mining_area,heart_mo_2_01,ore_rarex3,heart_mo_3,High
heart_mo_3,mo,3,锻造时光,Memory,on_forge_complete,any,any,any,forge,heart_mo_3_01,tool_upgrade_scraps,heart_mo_4,High
heart_mo_4,mo,4,精工利器,Memory,on_tool_upgrade,any,any,any,forge,heart_mo_4_01,forge_recipe,heart_mo_5,High
heart_mo_5,mo,5,匠心独运,Memory,on_favor_15,any,any,any,forge,heart_mo_5_01,master_forge_ticket,heart_mo_6,Medium
heart_mo_6,mo,6,锻造危机,Memory,on_quest_complete,ch4_1,any,any,forge,heart_mo_6_01,chaos_resistant_tool,heart_mo_7,Medium
heart_mo_7,mo,7,共铸神器,Memory,on_crisis_help,ch5_3,any,any,forge,heart_mo_7_01,spirit_stonex3,heart_mo_8,Medium
heart_mo_8,mo,8,相守一生,Memory,on_favor_20,any,any,any,forge,heart_mo_8_01,marriage_ring,heart_mo_9,Medium
heart_mo_9,mo,9,锻造盟誓,Memory,on_marriage,any,any,any,cloud_shrine,heart_mo_9_01,married_bonus,heart_mo_10,High
heart_mo_10,mo,10,匠魂永恒,Memory,on_true_ending,ending_true,any,any,forge,heart_mo_10_01,eternal_bond,None,High
heart_lin_1,lin,1,祭坛初识,Memory,on_meet,any,any,any,ancestor_shrine,heart_lin_1_01,incense_spiritx3,heart_lin_2,High
heart_lin_2,lin,2,祭祖仪式,Memory,on_festival_attend,spring_awakening,any,any,cloud_shrine,heart_lin_2_01,prayer_blessing,heart_lin_3,High
heart_lin_3,lin,3,古籍解读,Memory,on_quest_complete,ch1_5,any,any,library,heart_lin_3_01,ancient_scroll,heart_lin_4,High
heart_lin_4,lin,4,祭祀传承,Memory,on_teaching_complete,any,any,any,cloud_shrine,heart_lin_4_01,ritual_tool_adv,heart_lin_5,High
heart_lin_5,lin,5,情深似海,Memory,on_favor_15,any,any,any,cloud_shrine,heart_lin_5_01,ritual_blessing,heart_lin_6,Medium
heart_lin_6,lin,6,祭祀危机,Memory,on_quest_complete,ch3_3,any,any,cloud_shrine,heart_lin_6_01,ancient_protection,heart_lin_7,Medium
heart_lin_7,lin,7,共守传承,Memory,on_crisis_help,ch6_1,any,any,cloud_shrine,heart_lin_7_01,spirit_stonex3,heart_lin_8,Medium
heart_lin_8,lin,8,执手传承,Memory,on_favor_20,any,any,any,cloud_shrine,heart_lin_8_01,marriage_ring,heart_lin_9,Medium
heart_lin_9,lin,9,祭祀盟誓,Memory,on_marriage,any,any,any,cloud_shrine,heart_lin_9_01,married_bonus,heart_lin_10,High
heart_lin_10,lin,10,传承永恒,Memory,on_true_ending,ending_true,any,any,cloud_shrine,heart_lin_10_01,eternal_bond,None,High
heart_yan_1,yan,1,炉火初见,Memory,on_meet,any,any,any,forge,heart_yan_1_01,ore_basix10,heart_yan_2,High
heart_yan_2,yan,2,打铁技艺,Memory,on_forge_complete,any,any,any,forge,heart_yan_2_01,iron_ingotx5,heart_yan_3,High
heart_yan_3,yan,3,淬火之夜,Memory,on_night_meet,any,any,any,forge,heart_yan_3_01,steel_ingotx3,heart_yan_4,High
heart_yan_4,yan,4,铸剑之心,Memory,on_teaching_complete,any,any,any,forge,heart_yan_4_01,sword_craft_scroll,heart_yan_5,High
heart_yan_5,yan,5,情深如铁,Memory,on_favor_15,any,any,any,forge,heart_yan_5_01,master_blade,heart_yan_6,Medium
heart_yan_6,yan,6,锻造危机,Memory,on_quest_complete,ch4_3,any,any,forge,heart_yan_6_01,chaos_resistant_weapon,heart_yan_7,Medium
heart_yan_7,yan,7,共铸神器,Memory,on_crisis_help,ch6_3,any,any,forge,heart_yan_7_01,spirit_stonex3,heart_yan_8,Medium
heart_yan_8,yan,8,相守一生,Memory,on_favor_20,any,any,any,forge,heart_yan_8_01,marriage_ring,heart_yan_9,Medium
heart_yan_9,yan,9,锻造盟誓,Memory,on_marriage,any,any,any,cloud_shrine,heart_yan_9_01,married_bonus,heart_yan_10,High
heart_yan_10,yan,10,铸魂永恒,Memory,on_true_ending,ending_true,any,any,forge,heart_yan_10_01,eternal_bond,None,High
